model_key,requested_cams,valid_cams,valid_cam_rate,valid_predicted_cams,median_salient_relative_drop,median_shifted_control_relative_drop,median_salient_minus_control_drop,valid_predicted_true_pairs,median_predicted_true_cam_iou
resnet50_full_finetune,48,46,0.9583333333333334,30,0.38238031440804165,0.06885645385088987,0.13760560816917997,16,0.25138472298170933
convnext_full_finetune,49,49,1.0,30,0.8362099110264893,-6.63816053053141e-05,0.7993649935814351,19,0.4805635465073394
resnet50_scratch,56,44,0.7857142857142857,28,0.42903367115359897,0.00654946677749107,0.4102966441968656,15,0.30422352176738143
resnet50_fgvc_pmg_isqrtcov,50,50,1.0,30,0.9724663291070326,0.0,0.2540173113010935,20,0.27696593895790145
