label,original_category_id,precision,recall,f1,support,predicted_count
0,6,0.9090909090909091,1.0,0.9523809523809523,10,11
1,9,1.0,0.8,0.888888888888889,10,8
2,27,0.75,0.9,0.8181818181818182,10,12
3,35,1.0,0.9,0.9473684210526316,10,9
4,53,0.9090909090909091,1.0,0.9523809523809523,10,11
5,58,0.8888888888888888,0.8,0.8421052631578948,10,9
6,106,0.8181818181818182,0.9,0.8571428571428572,10,11
7,117,0.8333333333333334,0.5,0.625,10,6
8,128,0.6666666666666666,0.6,0.631578947368421,10,9
9,152,0.9090909090909091,1.0,0.9523809523809523,10,11
10,158,1.0,1.0,1.0,10,10
11,188,0.9,0.9,0.9,10,10
12,241,1.0,1.0,1.0,10,10
13,319,0.8181818181818182,0.9,0.8571428571428572,10,11
14,344,0.8888888888888888,0.8,0.8421052631578948,10,9
15,387,1.0,0.9,0.9473684210526316,10,9
16,400,0.8,0.8,0.8000000000000002,10,10
17,406,0.8,0.8,0.8000000000000002,10,10
18,409,0.9090909090909091,1.0,0.9523809523809523,10,11
19,434,1.0,1.0,1.0,10,10
20,452,1.0,0.9,0.9473684210526316,10,9
21,488,0.9,0.9,0.9,10,10
22,514,0.8,0.8,0.8000000000000002,10,10
23,520,1.0,0.9,0.9473684210526316,10,9
24,525,1.0,1.0,1.0,10,10
25,590,1.0,0.8,0.888888888888889,10,8
26,626,0.6666666666666666,0.8,0.7272727272727272,10,12
27,634,1.0,0.9,0.9473684210526316,10,9
28,651,0.5714285714285714,0.8,0.6666666666666666,10,14
29,653,1.0,1.0,1.0,10,10
30,685,0.8333333333333334,1.0,0.9090909090909091,10,12
31,711,1.0,0.5,0.6666666666666666,10,5
32,722,0.9,0.9,0.9,10,10
33,727,0.9,0.9,0.9,10,10
34,750,0.8181818181818182,0.9,0.8571428571428572,10,11
35,757,0.5714285714285714,0.8,0.6666666666666666,10,14
36,771,0.9,0.9,0.9,10,10
37,821,0.9090909090909091,1.0,0.9523809523809523,10,11
38,828,0.7272727272727273,0.8,0.761904761904762,10,11
39,832,0.8333333333333334,0.5,0.625,10,6
40,887,0.7692307692307693,1.0,0.8695652173913044,10,13
41,916,0.9090909090909091,1.0,0.9523809523809523,10,11
42,931,0.7777777777777778,0.7,0.7368421052631577,10,9
43,936,1.0,0.8,0.888888888888889,10,8
44,949,0.9090909090909091,1.0,0.9523809523809523,10,11
45,958,1.0,1.0,1.0,10,10
46,960,1.0,0.9,0.9473684210526316,10,9
47,964,1.0,0.6,0.7499999999999999,10,6
48,993,0.9,0.9,0.9,10,10
49,998,0.75,0.6,0.6666666666666665,10,8
50,1040,1.0,0.9,0.9473684210526316,10,9
51,1049,0.8571428571428571,0.6,0.7058823529411764,10,7
52,1084,0.75,0.6,0.6666666666666665,10,8
53,1104,0.5714285714285714,0.8,0.6666666666666666,10,14
54,1113,0.8888888888888888,0.8,0.8421052631578948,10,9
55,1122,0.8,0.8,0.8000000000000002,10,10
56,1127,1.0,0.8,0.888888888888889,10,8
57,1133,0.9,0.9,0.9,10,10
58,1137,1.0,1.0,1.0,10,10
59,1139,0.9,0.9,0.9,10,10
60,1146,1.0,0.9,0.9473684210526316,10,9
61,1160,1.0,1.0,1.0,10,10
62,1163,1.0,1.0,1.0,10,10
63,1169,0.7692307692307693,1.0,0.8695652173913044,10,13
64,1188,1.0,0.7,0.8235294117647058,10,7
65,1193,0.6428571428571429,0.9,0.75,10,14
66,1200,0.8888888888888888,0.8,0.8421052631578948,10,9
67,1232,1.0,0.4,0.5714285714285715,10,4
68,1235,1.0,0.9,0.9473684210526316,10,9
69,1290,1.0,0.7,0.8235294117647058,10,7
70,1291,1.0,1.0,1.0,10,10
71,1307,0.7272727272727273,0.8,0.761904761904762,10,11
72,1312,1.0,0.9,0.9473684210526316,10,9
73,1343,0.9,0.9,0.9,10,10
74,1389,0.8888888888888888,0.8,0.8421052631578948,10,9
75,1403,0.6428571428571429,0.9,0.75,10,14
76,1424,1.0,0.7,0.8235294117647058,10,7
77,1489,0.8888888888888888,0.8,0.8421052631578948,10,9
78,1512,1.0,0.5,0.6666666666666666,10,5
79,1519,0.8333333333333334,1.0,0.9090909090909091,10,12
80,1528,0.75,0.9,0.8181818181818182,10,12
81,1530,0.7777777777777778,0.7,0.7368421052631577,10,9
82,1535,0.7142857142857143,1.0,0.8333333333333333,10,14
83,1545,1.0,1.0,1.0,10,10
84,1584,1.0,0.3,0.4615384615384615,10,3
85,1588,0.9090909090909091,1.0,0.9523809523809523,10,11
86,1604,0.75,0.9,0.8181818181818182,10,12
87,1612,0.6923076923076923,0.9,0.7826086956521738,10,13
88,1638,0.6428571428571429,0.9,0.75,10,14
89,1654,1.0,0.9,0.9473684210526316,10,9
90,1674,0.75,0.6,0.6666666666666665,10,8
91,1679,1.0,1.0,1.0,10,10
92,1684,0.8888888888888888,0.8,0.8421052631578948,10,9
93,1697,1.0,1.0,1.0,10,10
94,1743,0.5,0.9,0.6428571428571429,10,18
95,1753,0.9090909090909091,1.0,0.9523809523809523,10,11
96,1771,1.0,0.9,0.9473684210526316,10,9
97,1776,1.0,0.8,0.888888888888889,10,8
98,1790,0.8181818181818182,0.9,0.8571428571428572,10,11
99,1796,0.9,0.9,0.9,10,10
100,1824,1.0,0.9,0.9473684210526316,10,9
101,1827,1.0,1.0,1.0,10,10
102,1832,1.0,0.9,0.9473684210526316,10,9
103,1876,0.7777777777777778,0.7,0.7368421052631577,10,9
104,1889,0.9,0.9,0.9,10,10
105,1891,1.0,0.6,0.7499999999999999,10,6
106,1894,0.875,0.7,0.7777777777777777,10,8
107,1964,0.9,0.9,0.9,10,10
108,1982,1.0,0.8,0.888888888888889,10,8
109,2041,1.0,0.9,0.9473684210526316,10,9
110,2045,0.7777777777777778,0.7,0.7368421052631577,10,9
111,2060,0.875,0.7,0.7777777777777777,10,8
112,2085,1.0,1.0,1.0,10,10
113,2088,0.9090909090909091,1.0,0.9523809523809523,10,11
114,2103,0.8,0.8,0.8000000000000002,10,10
115,2143,1.0,0.9,0.9473684210526316,10,9
116,2144,1.0,1.0,1.0,10,10
117,2167,0.8333333333333334,1.0,0.9090909090909091,10,12
118,2170,1.0,0.7,0.8235294117647058,10,7
119,2200,0.75,0.9,0.8181818181818182,10,12
120,2266,1.0,0.9,0.9473684210526316,10,9
121,2286,0.75,0.6,0.6666666666666665,10,8
122,2287,0.7272727272727273,0.8,0.761904761904762,10,11
123,2296,0.8181818181818182,0.9,0.8571428571428572,10,11
124,2340,0.8181818181818182,0.9,0.8571428571428572,10,11
125,2414,0.8,0.8,0.8000000000000002,10,10
126,2426,1.0,0.7,0.8235294117647058,10,7
127,2442,0.5833333333333334,0.7,0.6363636363636365,10,12
128,2504,0.5833333333333334,0.7,0.6363636363636365,10,12
129,2532,0.8888888888888888,0.8,0.8421052631578948,10,9
130,2536,0.6,0.6,0.6,10,10
131,2546,0.6363636363636364,0.7,0.6666666666666666,10,11
132,2547,0.9,0.9,0.9,10,10
133,2579,1.0,0.5,0.6666666666666666,10,5
134,2584,1.0,0.6,0.7499999999999999,10,6
135,2591,0.5714285714285714,0.8,0.6666666666666666,10,14
136,2608,0.8888888888888888,0.8,0.8421052631578948,10,9
137,2615,0.6428571428571429,0.9,0.75,10,14
138,2621,0.8,0.8,0.8000000000000002,10,10
139,2646,0.7,0.7,0.7,10,10
140,2647,0.7777777777777778,0.7,0.7368421052631577,10,9
141,2662,1.0,0.9,0.9473684210526316,10,9
142,2664,1.0,0.7,0.8235294117647058,10,7
143,2677,0.75,0.6,0.6666666666666665,10,8
144,2697,0.8333333333333334,1.0,0.9090909090909091,10,12
145,2705,0.9090909090909091,1.0,0.9523809523809523,10,11
146,2724,0.9090909090909091,1.0,0.9523809523809523,10,11
147,2780,1.0,0.9,0.9473684210526316,10,9
148,2803,1.0,1.0,1.0,10,10
149,2851,1.0,1.0,1.0,10,10
150,2900,0.9090909090909091,1.0,0.9523809523809523,10,11
151,2925,0.9090909090909091,1.0,0.9523809523809523,10,11
152,2927,1.0,0.9,0.9473684210526316,10,9
153,2938,0.9090909090909091,1.0,0.9523809523809523,10,11
154,3006,1.0,1.0,1.0,10,10
155,3044,0.7,0.7,0.7,10,10
156,3111,0.8,0.8,0.8000000000000002,10,10
157,3114,0.75,0.6,0.6666666666666665,10,8
158,3116,0.7,0.7,0.7,10,10
159,3119,0.9,0.9,0.9,10,10
160,3139,0.6666666666666666,0.6,0.631578947368421,10,9
161,3143,0.7,0.7,0.7,10,10
162,3150,0.9,0.9,0.9,10,10
163,3164,0.8333333333333334,1.0,0.9090909090909091,10,12
164,3228,0.9,0.9,0.9,10,10
165,3257,0.42857142857142855,0.3,0.3529411764705882,10,7
166,3258,0.5384615384615384,0.7,0.608695652173913,10,13
167,3262,0.8888888888888888,0.8,0.8421052631578948,10,9
168,3269,1.0,0.9,0.9473684210526316,10,9
169,3295,0.7692307692307693,1.0,0.8695652173913044,10,13
170,3335,0.9090909090909091,1.0,0.9523809523809523,10,11
171,3346,0.9,0.9,0.9,10,10
172,3432,1.0,0.9,0.9473684210526316,10,9
173,3441,1.0,0.8,0.888888888888889,10,8
174,3443,0.8,0.8,0.8000000000000002,10,10
175,3450,0.75,0.6,0.6666666666666665,10,8
176,3456,0.8181818181818182,0.9,0.8571428571428572,10,11
177,3470,0.7272727272727273,0.8,0.761904761904762,10,11
178,3483,1.0,0.7,0.8235294117647058,10,7
179,3492,0.875,0.7,0.7777777777777777,10,8
180,3501,0.6666666666666666,0.6,0.631578947368421,10,9
181,3502,0.6666666666666666,0.8,0.7272727272727272,10,12
182,3510,0.875,0.7,0.7777777777777777,10,8
183,3527,0.9090909090909091,1.0,0.9523809523809523,10,11
184,3566,1.0,0.8,0.888888888888889,10,8
185,3582,0.8571428571428571,0.6,0.7058823529411764,10,7
186,3593,1.0,0.9,0.9473684210526316,10,9
187,3598,0.7777777777777778,0.7,0.7368421052631577,10,9
188,3608,1.0,0.8,0.888888888888889,10,8
189,3611,1.0,1.0,1.0,10,10
190,3644,0.8333333333333334,1.0,0.9090909090909091,10,12
191,3652,0.7142857142857143,1.0,0.8333333333333333,10,14
192,3657,0.8888888888888888,0.8,0.8421052631578948,10,9
193,3680,1.0,0.6,0.7499999999999999,10,6
194,3681,1.0,1.0,1.0,10,10
195,3728,0.7777777777777778,0.7,0.7368421052631577,10,9
196,3733,0.9,0.9,0.9,10,10
197,3750,0.7777777777777778,0.7,0.7368421052631577,10,9
198,3752,0.46153846153846156,0.6,0.5217391304347826,10,13
199,3770,1.0,0.8,0.888888888888889,10,8
200,3811,0.8888888888888888,0.8,0.8421052631578948,10,9
201,3814,0.75,0.9,0.8181818181818182,10,12
202,3848,0.8333333333333334,0.5,0.625,10,6
203,3853,0.5,0.9,0.6428571428571429,10,18
204,3872,0.6153846153846154,0.8,0.6956521739130435,10,13
205,3878,0.8333333333333334,1.0,0.9090909090909091,10,12
206,3899,0.7777777777777778,0.7,0.7368421052631577,10,9
207,3910,0.7272727272727273,0.8,0.761904761904762,10,11
208,3923,0.8,0.8,0.8000000000000002,10,10
209,3946,0.8333333333333334,1.0,0.9090909090909091,10,12
210,3981,0.6666666666666666,1.0,0.8,10,15
211,4002,1.0,0.9,0.9473684210526316,10,9
212,4010,0.8571428571428571,0.6,0.7058823529411764,10,7
213,4011,0.8888888888888888,0.8,0.8421052631578948,10,9
214,4012,0.625,0.5,0.5555555555555556,10,8
215,4033,0.7777777777777778,0.7,0.7368421052631577,10,9
216,4040,1.0,0.8,0.888888888888889,10,8
217,4061,1.0,0.8,0.888888888888889,10,8
218,4065,0.8888888888888888,0.8,0.8421052631578948,10,9
219,4073,0.875,0.7,0.7777777777777777,10,8
220,4088,0.7272727272727273,0.8,0.761904761904762,10,11
221,4092,1.0,0.8,0.888888888888889,10,8
222,4114,1.0,0.9,0.9473684210526316,10,9
223,4119,0.9090909090909091,1.0,0.9523809523809523,10,11
224,4173,0.6923076923076923,0.9,0.7826086956521738,10,13
225,4272,1.0,0.9,0.9473684210526316,10,9
226,4279,0.9,0.9,0.9,10,10
227,4291,0.5,0.6,0.5454545454545454,10,12
228,4304,0.8333333333333334,0.5,0.625,10,6
229,4315,0.9,0.9,0.9,10,10
230,4325,0.9,0.9,0.9,10,10
231,4333,0.7777777777777778,0.7,0.7368421052631577,10,9
232,4339,0.5,0.8,0.6153846153846154,10,16
233,4342,0.7142857142857143,0.5,0.588235294117647,10,7
234,4345,0.8888888888888888,0.8,0.8421052631578948,10,9
235,4349,0.75,0.9,0.8181818181818182,10,12
236,4351,0.8888888888888888,0.8,0.8421052631578948,10,9
237,4371,0.8,0.8,0.8000000000000002,10,10
238,4374,0.6666666666666666,1.0,0.8,10,15
239,4386,0.8181818181818182,0.9,0.8571428571428572,10,11
240,4422,0.8181818181818182,0.9,0.8571428571428572,10,11
241,4462,0.6666666666666666,0.8,0.7272727272727272,10,12
242,4506,0.8888888888888888,0.8,0.8421052631578948,10,9
243,4533,0.8333333333333334,1.0,0.9090909090909091,10,12
244,4552,1.0,0.9,0.9473684210526316,10,9
245,4554,0.75,0.9,0.8181818181818182,10,12
246,4557,0.6666666666666666,0.6,0.631578947368421,10,9
247,4562,0.625,0.5,0.5555555555555556,10,8
248,4563,1.0,0.8,0.888888888888889,10,8
249,4564,1.0,0.8,0.888888888888889,10,8
250,4573,0.9090909090909091,1.0,0.9523809523809523,10,11
251,4616,1.0,1.0,1.0,10,10
252,4649,1.0,0.9,0.9473684210526316,10,9
253,4669,0.6666666666666666,0.8,0.7272727272727272,10,12
254,4673,0.9,0.9,0.9,10,10
255,4700,0.9090909090909091,1.0,0.9523809523809523,10,11
256,4741,0.8,0.4,0.5333333333333333,10,5
257,4803,0.8333333333333334,1.0,0.9090909090909091,10,12
258,4808,1.0,0.8,0.888888888888889,10,8
259,4844,0.6666666666666666,0.8,0.7272727272727272,10,12
260,4861,1.0,1.0,1.0,10,10
261,4889,0.8333333333333334,1.0,0.9090909090909091,10,12
262,4905,0.5625,0.9,0.6923076923076923,10,16
263,4915,0.9,0.9,0.9,10,10
264,4920,1.0,1.0,1.0,10,10
265,4930,0.6,0.6,0.6,10,10
266,4956,0.8,0.8,0.8000000000000002,10,10
267,4978,1.0,0.8,0.888888888888889,10,8
268,5000,0.6923076923076923,0.9,0.7826086956521738,10,13
269,5038,0.8333333333333334,1.0,0.9090909090909091,10,12
270,5050,1.0,1.0,1.0,10,10
271,5067,0.8181818181818182,0.9,0.8571428571428572,10,11
272,5085,1.0,1.0,1.0,10,10
273,5107,0.9,0.9,0.9,10,10
274,5138,1.0,0.8,0.888888888888889,10,8
275,5139,0.9,0.9,0.9,10,10
276,5143,0.6666666666666666,0.6,0.631578947368421,10,9
277,5147,0.7142857142857143,1.0,0.8333333333333333,10,14
278,5155,0.875,0.7,0.7777777777777777,10,8
279,5168,0.9090909090909091,1.0,0.9523809523809523,10,11
280,5180,0.9,0.9,0.9,10,10
281,5183,0.9090909090909091,1.0,0.9523809523809523,10,11
282,5279,1.0,0.9,0.9473684210526316,10,9
283,5310,1.0,1.0,1.0,10,10
284,5313,1.0,0.9,0.9473684210526316,10,9
285,5344,1.0,1.0,1.0,10,10
286,5378,0.8181818181818182,0.9,0.8571428571428572,10,11
287,5409,0.8888888888888888,0.8,0.8421052631578948,10,9
288,5413,0.8333333333333334,1.0,0.9090909090909091,10,12
289,5425,1.0,0.9,0.9473684210526316,10,9
290,5442,1.0,0.8,0.888888888888889,10,8
291,5464,1.0,1.0,1.0,10,10
292,5491,0.9090909090909091,1.0,0.9523809523809523,10,11
293,5514,1.0,0.9,0.9473684210526316,10,9
294,5539,0.8181818181818182,0.9,0.8571428571428572,10,11
295,5559,0.8181818181818182,0.9,0.8571428571428572,10,11
296,5573,0.8888888888888888,0.8,0.8421052631578948,10,9
297,5574,1.0,0.9,0.9473684210526316,10,9
